"Z60W Data File: Version 1.1" 
"" 
"" 
"" 
"" 
"" 
"" 
"" 
0.2.0.1.1.100000 
150
Freq (Hz) Ampl Time(Sec); Z'(a) Z''(b) GD Err Range 
7.94330 0.00000 0.00000 0.00000 11429.81339 -21209.76782 0.00000 0.00000 0.00000
6.30960 0.00000 0.00000 0.00000 14093.86009 -24473.30553 0.00000 0.00000 0.00000
5.01190 0.00000 0.00000 0.00000 17402.20519 -28128.54774 0.00000 0.00000 0.00000
3.98110 0.00000 0.00000 0.00000 21451.38399 -31938.22676 0.00000 0.00000 0.00000
3.16230 0.00000 0.00000 0.00000 26187.48029 -36247.81542 0.00000 0.00000 0.00000
2.51190 0.00000 0.00000 0.00000 31836.53867 -40499.84043 0.00000 0.00000 0.00000
1.99530 0.00000 0.00000 0.00000 38366.69558 -44773.55514 0.00000 0.00000 0.00000
1.58490 0.00000 0.00000 0.00000 45947.25278 -48950.36218 0.00000 0.00000 0.00000
1.25890 0.00000 0.00000 0.00000 54440.09529 -52648.94867 0.00000 0.00000 0.00000
1.00000 0.00000 0.00000 0.00000 63884.38832 -55924.54597 0.00000 0.00000 0.00000
0.79433 0.00000 0.00000 0.00000 74140.38881 -58378.65247 0.00000 0.00000 0.00000
0.63096 0.00000 0.00000 0.00000 85172.11326 -59909.51587 0.00000 0.00000 0.00000
0.50119 0.00000 0.00000 0.00000 96575.26782 -60464.31888 0.00000 0.00000 0.00000
0.39811 0.00000 0.00000 0.00000 108149.99884 -59595.20226 0.00000 0.00000 0.00000
0.31623 0.00000 0.00000 0.00000 119849.08177 -57383.71353 0.00000 0.00000 0.00000
0.25119 0.00000 0.00000 0.00000 131054.40738 -53419.59077 0.00000 0.00000 0.00000
0.19953 0.00000 0.00000 0.00000 141693.21253 -50668.80657 0.00000 0.00000 0.00000
0.15849 0.00000 0.00000 0.00000 149578.87080 -41511.00951 0.00000 0.00000 0.00000
0.12589 0.00000 0.00000 0.00000 160710.35697 -33991.84230 0.00000 0.00000 0.00000
0.10000 0.00000 0.00000 0.00000 166887.58953 -26496.99249 0.00000 0.00000 0.00000
