Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
37;251.19;632.270435448519;1707.98530254148;1821.25772400283;69.6862065607352;79.9104797982454
38;199.53;752.164467915704;2052.73398635085;2186.19948895676;69.8761142519163;81.1605047950894
39;158.49;899.510091679786;2465.82538850841;2624.76918064168;69.9585023580063;82.4455267918451
40;125.89;1080.86481723052;2960.40574180009;3151.55055634678;69.9425088438253;83.7955537884366
41;100;1303.15376529023;3550.67410362225;3782.26074274683;69.8460615589852;85.1555767850028
42;79.433;1578.06920476481;4253.76130712524;4537.04613961803;69.646048873787;86.5606047814555
43;63.096;1924.56391080076;5079.356721758;5431.74106098817;69.2483448518342;88.0856327776052
44;50.119;2350.11636768933;6105.14010206997;6541.84856195741;68.9462578922882;89.5156597739947
45;39.811;2856.71150272603;7248.41248626119;7791.03871000487;68.4898330039294;98.5858277510947
46;31.623;3476.81342513821;8636.82035787397;9310.36505661338;68.0723989772971;101.68088474328
47;25.119;4299.63269289878;10272.4352412429;11135.9672718346;67.2877541183898;103.200910739443
48;19.953;5287.77791713887;12161.0626299187;13260.9215211383;66.5000103297989;105.045944734784
49;15.849;6501.2615115775;14361.9301421686;15764.8799123384;65.64500953259;106.945981729987
50;12.589;8022.38035865348;16924.0167344952;18729.1465114773;64.6379523549256;108.981017724849
51;10;9884.38508401463;19821.5697731221;22149.394952455;63.4960298765043;111.241061719143
52;7.9433;12253.8942652188;23143.3050396189;26187.2200284798;62.099719599877;113.526103713374
53;6.3096;14975.4358021982;26871.6391848534;30762.7805951723;60.8692855199433;115.956149707239
54;5.0119;18371.8644477111;31042.5243080711;36071.6470195396;59.3817250811526;119.266209698882
55;3.9811;22590.4353105027;35553.1979644625;42123.1249199091;57.5681995743637;121.626254692923
56;3.1623;27280.4270264216;40586.9479605183;48903.1905246859;56.0930665368281;124.131297686599
57;2.5119;33168.8936111637;45790.4517365112;56541.4978013711;54.0818309173644;126.686344680148
58;1.9953;39985.6404129853;51421.2952076005;65138.3223614468;52.131057105361;129.306396673533
59;1.5849;47731.5307697309;56907.6348072293;74275.0155097577;50.0116085298369;132.066444666564
60;1.2589;56805.8063543089;62796.148765732;84677.3637719738;47.8673007082588;134.866499659495
61;1;66893.1698273245;68325.7435719593;95619.5764695097;45.6069961410646;139.836592646947
62;0.79433;78169.2378555357;73645.1805890798;107396.6590305;43.293095595655;142.991648638981
63;0.63096;90459.7415727872;78417.006717894;119717.132391357;40.9210972231372;146.471713630194
64;0.50119;103657.45062813;82704.0207510719;132607.775485138;38.5849280641171;150.321783620474
65;0.39811;117717.396713937;86300.1639835734;145962.679451626;36.2456307214711;154.671863609491
66;0.31623;132438.360278807;89138.0280072483;159641.809405808;33.9426413871288;159.431951597473
67;0.25119;147924.606864795;90697.638964721;173515.852387841;31.5138867726817;164.927054583599
68;0.19953;164536.600122122;91592.7455734878;188312.303956583;29.1034158892224;171.222169567706
69;0.15849;179827.815918973;91436.9953268553;201739.355338991;26.9519568646017;178.457304549439
70;0.12589;195954.346050933;90225.9565171994;215728.600249694;24.7234119676926;186.997462527877
71;0.1;212128.523499899;87477.9726911112;229457.852749463;22.4103666717636;197.212653502086
